,DocNum,DocContent
28,29,"['After this, Tendulkar endured the longest spell of his career without a Test century: 17\xa0innings elapsed before he scored 101 against Bangladesh in May 2007.', 'Similarly he has been Man of the Match 62 times in One day International matches and Man of the Series 15 times.', 'On 3 October 2001 he replaced Patel as Chief Minister of Gujarat, with the responsibility of preparing the BJP for the December 2002 elections.', 'Abandoning the customary group photograph, its cover – designed by Klaus Voormann, a friend of the band since their Hamburg days – ""was a stark, arty, black-and-white collage that caricatured the Beatles in a pen-and-ink style beholden to Aubrey Beardsley"", in Gould\'s description.', ""The activities of a number of Hindu nationalist organisations increased in scope after Modi's election as Prime Minister, sometimes with the support of the government."", 'The Bachchan family also bought shares worth $252,000 in Meridian Tech, a consulting company in U.S.', 'He scored 137 off 136 balls, with 21 fours and 3 sixes, to take his team to 344 for 4 at stumps on day one.', 'The stated goals of the campaign included eliminating open defecation and manual scavenging within five years.', 'The film was notable for portraying Bachchan as a romantic hero, a far cry from his ""angry young man"" roles like Zanjeer and Deewar.', 'In the Border-Gavaskar Trophy, 2007–08, Tendulkar showed exceptional form, becoming the leading run scorer with 493 runs in four Tests, despite consistently failing in the second innings.']"
29,30,"['With the exception of the delayed release of Insaniyat (1994), which was also a box office failure, Bachchan did not appear in any new releases for five years.', 'But Mumbai Indians failed to qualify for semifinals after losing the initial two matches.', 'His later releases in 2006 and early 2007 were Baabul (2006), Ekalavya and Nishabd (2007), which failed to do well at the box office but his performances in each of them were praised by critics.', 'McCartney said, ""We made a mistake.', ""Modi's government put in place the Goods and Services Tax, the biggest tax reform in the country since independence."", 'He continued to score heavily in ODI cricket that year, with two hundreds in a tri-series involving New Zealand and Australia.', 'Supporters of economic liberalisation supported the initiative, while critics argued it would allow foreign corporations to capture a greater share of the Indian market.', ""In 2006, he signed a contract with Saatchi and Saatchi's ICONIX valued at ₹1.8 billion (US$25\xa0million) over three years."", ""One of Modi's first visits as prime minister was to Nepal, during which he promised a billion USD in aid."", 'The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match.']"
30,31,"['At the conclusion of the tour, the band had grossed a record-setting $558 million and were listed in the latest edition of Guinness World Records which stated the record was for gross receipts of $437 million.', 'Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.', 'Bachchan was named in the Panama Papers and Paradise Papers, leaked confidential documents relating to offshore investment.', 'Tendulkar is a practising Hindu.', 'The band had learned, despite being assured that their taxes were taken care of, they had not been paid for seven years and the UK government was owed a relative fortune.', 'Approximately 150,000 people were driven to refugee camps.', 'The episode was shot in Jim Corbett National Park, Uttarakhand and was broadcast in 180 countries along India.', 'After this, Tendulkar endured the longest spell of his career without a Test century: 17\xa0innings elapsed before he scored 101 against Bangladesh in May 2007.', ""This led to discontent within the BJP regarding Modi's style of functioning and drew comparisons to the governing style of Indira Gandhi."", 'Following the series, Warne ruefully joked that he was having nightmares about his Indian nemesis.']"
31,32,"['It featured a cover of Bob Dylan\'s ""Like a Rolling Stone"", as well as infrequently played songs like ""Shine a Light"", ""Sweet Virginia"" and ""The Spider and the Fly"".', 'I make mistakes, God doesn\'t.""', 'Until Their Satanic Majesties Request (1967), UK and US releases were slightly different.', 'He scored 100 not out off 66 balls.', 'In the Test against Pakistan at Chepauk in 1999, the first of a two-Test series, Sachin scored 136 in the fourth innings with India chasing 271 for victory.', 'Modi left home after finishing high-school in part due to an arranged marriage to Jashodaben Chimanlal, which he abandoned and publicly acknowledged only many decades later.', 'Several scholars have described the violence as a pogrom, while others have called it an example of state terrorism.', 'He began a high-profile sanitation campaign and weakened or abolished environmental and labour laws.', 'Nobody talked about my 99\xa0hundreds.', 'He then played his first antagonist role as an infatuated lover-turned-murderer in Parwana (1971).']"
32,33,"['In the subsequent year, the number of income tax returns filed for individuals rose by 25%, and the number of digital transactions increased steeply.', 'Australia returned for a seven-match ODI series in India in October, and Tendulkar made 14, 4, 32 and 40 in the first four games.', 'Thus Sachin Tendulkar became the youngest player to debut for India in Tests at the age of 16 years and 205 days and also the youngest player to debut for India in ODIs at the age of 16 years and 238 days.', 'In the aftermath of the violence there were widespread calls for Modi to resign as chief minister from within and outside the state, including from leaders of the Dravida Munnetra Kazhagam and the Telugu Desam Party (allies in the BJP-led National Democratic Alliance coalition), and opposition parties stalled Parliament over the issue.', 'His cabinet had an emergency meeting on 19 July 2002, after which it offered its resignation to the Gujarat Governor S. S. Bhandari, and the state assembly was dissolved.', 'The PMO has also issued a letter of acknowledgement which states: ""Prime Minister acknowledges this thoughtful gesture and conveys his gratitude.', 'The first stable line-up consisted of bandleader Brian Jones (guitar, harmonica, keyboards), Mick Jagger (lead vocals, harmonica), Keith Richards (guitar, vocals), Bill Wyman (bass guitar), Charlie Watts (drums), and Ian Stewart (piano).', 'Rooted in blues and early rock and roll, the band started out playing covers but found more success with their own material; songs such as ""(I Can\'t Get No) Satisfaction"" and ""Paint It Black"" became international hits, and Aftermath (1966) – their first entirely original album – has been considered the most important of the band\'s formative records.', 'During this match, Tendulkar also became the first player to reach 17,000 ODI runs, and achieved his personal best against Australia, as well as the third highest score in a defeat.', ""In 2000, Amitabh Bachchan appeared in Yash Chopra's box-office hit, Mohabbatein, directed by Aditya Chopra.""]"
33,34,"['However, as he jumped towards the table, the corner of the table struck his abdomen, resulting in a splenic rupture from which he lost a significant amount of blood.', 'He is the first prime minister outside of the Indian National Congress to win two consecutive terms with a full majority and the second to complete five years in office after Atal Bihari Vajpayee.', 'He secured the Man of the Match award.', 'Selected for Yorkshire as a replacement for the injured Australian fast bowler Craig McDermott, Tendulkar played 16 first-class matches for the county and scored 1070 runs at an average of 46.52.', 'Tendulkar took three wickets on the final day of the famous Kolkata Test against Australia in 2001.', ""The series described alleged LSD parties hosted by the Moody Blues attended by top stars including the Who's Pete Townshend and Cream's Ginger Baker, and alleged admissions of drug use by leading pop musicians."", 'Then, in a hitherto unprecedented sequence, he scored 0, 0, 8 and 0 in the next four innings.', 'He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth ₹6.6\xa0trillion were signed.', ""During Modi's second term the rhetoric of the government shifted from Hindutva to Gujarat's economic development."", 'They issued another hits compilation in 1993 entitled Jump Back, which reached No.']"
34,35,"['These activities included a Hindu religious conversion programme, a campaign against the alleged Islamic practice of ""Love Jihad"", and attempts to celebrate Nathuram Godse, the assassin of Mahatma Gandhi, by members of the right wing Hindu Mahasabha.', ""In the second Test at Port of Spain, Sachin Tendulkar scored 117 in the first innings, his 29th Test century in his 93rd Test match, to equal Sir Donald Bradman's record of 29 Test hundreds."", '2 in the US.', 'The tongue and lips design was part of a package that VH1 named the ""No.', 'In 2018 he was the third most followed head of the state on Twitter, and the most followed world leader on Facebook and Instagram.', 'His performance was unanimously praised by critics and audiences and won him his second National Film Award for Best Actor, his fourth Filmfare Best Actor Award and his second Filmfare Critics Award for Best Actor.', 'During the Australian tour of India in 1998 Matthew Hayden said ""I have seen God.', ""He returned to the squad in July for India's tour of England."", ""Modi's campaign blitz cost approximately ₹50 billion (US$700\xa0million), and received extensive financial support from corporate donors."", 'For his performances in 2011, he was named in the World Test XI by the ICC.']"
35,36,"['9 in the US.', 'Narendra Damodardas Modi (Gujarati pronunciation:\xa0 (listen); born 17 September 1950) is an Indian politician serving as the 14th and current Prime Minister of India since 2014.', 'Modi was also involved with creating a network of safe houses for individuals wanted by the government, and in raising funds for political refugees and activists.', ""Premiered on 12 August 2019, Modi appeared in a special episode of Discovery Channel's show Man vs Wild with the host Bear Grylls, becoming the second world leader after Barack Obama to appear in the adventure/survival show."", 'In December 1964, the distributor released the band\'s first single with Jagger/Richards originals on both sides: ""Heart of Stone"", with ""What a Shame"" as the B-side; the single went to No.', 'Many other honours for his achievements were conferred upon him at several International Film Festivals, including the Lifetime Achievement Award at the 2010 Asian Film Awards.', ""Although their initial style was a highly original, irresistibly catchy synthesis of early American rock and roll and R&B, the Beatles spent the rest of the 1960s expanding rock's stylistic frontiers, consistently staking out new musical territory on each release."", 'Released on 26 September, Abbey Road sold four million copies within three months and topped the UK charts for a total of seventeen weeks.', 'Lennon had lost interest in collaborating with McCartney, whose contribution ""Ob-La-Di, Ob-La-Da"" he scorned as ""granny music shit"".', 'Describing Let It Be as the ""only Beatles album to occasion negative, even hostile reviews"", Unterberger calls it ""on the whole underrated""; he singles out ""some good moments of straight hard rock in \'I\'ve Got a Feeling\' and \'Dig a Pony\'"", and praises ""Let It Be"", ""Get Back"", and ""the folky \'Two of Us\', with John and Paul harmonising together"".']"
36,37,"['12 on the UK charts.', 'It performed particularly well in parts of the country that had recently experienced violence between Hindus and Muslims.', 'In 1971 he became a full-time worker for the RSS.', 'Bachchan continued to host KBC until 2017.', ""EMI's American subsidiary, Capitol Records, hindered the Beatles' releases in the United States for more than a year by initially declining to issue their music, including their first three singles."", ""The band toured the UK three times in the first half of the year: a four-week tour that began in February, the Beatles' first nationwide, preceded three-week tours in March and May–June."", 'It was the first example of a double EP in the UK.', ""Later, Oldham reduced the band members' ages in publicity material to make them appear as teenagers."", 'In protest – the honour was at that time primarily bestowed upon military veterans and civic leaders – some conservative MBE recipients returned their insignia.', 'According to The Economic Times, his intention was to explain the workings of the RSS to his readers and to reassure RSS members that he remained ideologically aligned with them.']"
37,38,"[""Allegations of abuse of power, corruption and poor administration were made, and Patel's standing had been damaged by his administration's handling of the earthquake in Bhuj in 2001."", 'It became their first single to sell a million copies, and remained the biggest-selling record in the UK until 1978.', 'Released in early December, its eight original compositions stood out, demonstrating the growing maturity of the Lennon–McCartney songwriting partnership.', 'During the first few months after the election, Modi made trips to a number of different countries to further the goals of his policy, and attended the BRICS, ASEAN, and G20 summits.', 'During the 2014 election campaign, the BJP sought to identify itself with political leaders known to have opposed Hindu nationalism, including B. R. Ambedkar, Subhas Chandra Bose, and Ram Manohar Lohia.', 'When the Stones began to fill stadium-sized venues, or larger, they ran into the problem of the audience no longer being able to see them.', 'Please Please Me maintained the top position on the Record Retailer chart for 30 weeks, only to be displaced by its follow-up, With the Beatles, which EMI released on 22 November to record advance orders of 270,000 copies.', 'The article claimed this was Mick Jagger, but it turned out to be a case of mistaken identity; the reporter had in fact been eavesdropping on Brian Jones.', 'Abandoning the customary group photograph, its cover – designed by Klaus Voormann, a friend of the band since their Hamburg days – ""was a stark, arty, black-and-white collage that caricatured the Beatles in a pen-and-ink style beholden to Aubrey Beardsley"", in Gould\'s description.', 'At this time he became pessimistic, expressing concern with how a new film would be received, and stating before every release, ""Yeh film to flop hogi!""']"
38,39,"['When Sutcliffe decided to leave the band early that year and resume his art studies in Germany, McCartney took up the bass.', ""In accordance with Ghanchi tradition, Modi's marriage was arranged by his parents when he was a child."", 'Modi himself was a candidate for the Lok Sabha in two constituencies: Varanasi and Vadodara.', 'In 2013, a second volume of BBC recordings, titled On Air – Live at the BBC Volume 2, was released.', 'On 3 July 1969, less than a month later, Jones drowned under mysterious circumstances in the swimming pool at his home, Cotchford Farm, in Hartfield, East Sussex.', 'Almost as soon as they returned home, the Beatles faced a fierce backlash from US religious and social conservatives (as well as the Ku Klux Klan) over a comment Lennon had made in a March interview with British reporter Maureen Cleave.', 'Five million shares were created, of which the original principals retained 3.75 million.', ""His histrionics come primarily in the form of his well-modulated baritone, conveying his emotions and of course, from the well-written lines.'"", 'At the Beacon Theater show, music executive Ahmet Ertegun fell and later died from his injuries.', 'Modi spent the ensuing two years travelling across Northern and North-eastern India, though few details of where he went have emerged.']"
39,40,"['16 in the UK and No.', 'The Bharatiya Mazdoor Sangh, a constituent of the Sangh Parivar, stated that the underlying motivation of labour reforms favoured corporations over labourers.', 'He also recalled, ""when you think of some dopey, spotty seventeen year old from Dartford, who wants to be Muddy Waters—and there were a lot of us—in a way, very pathetic, but in another way,  very\xa0... heartwarming"".', ""Upon landing at New York's John F. Kennedy Airport, an uproarious crowd estimated at 3,000 greeted them."", 'Early members', 'He became the first Beatle to discuss LSD publicly, declaring in a magazine interview that ""it opened my eyes"" and ""made me a better, more honest, more tolerant member of society"".', ""Though Mrityudaata attempted to reprise Bachchan's earlier success as an action hero, the film was a failure both financially and critically."", 'And the words were almost irrelevant.""', ""Modi rose within the party and was named a member of the BJP's National Election Committee in 1990, helping organise L. K. Advani's 1990 Ram Rath Yatra in 1990 and Murli Manohar Joshi's 1991–92 Ekta Yatra (Journey for Unity)."", 'His administration has been criticised for failing to significantly improve health, poverty and education indices in the state.']"
40,41,"['The band released Blue & Lonesome on 2 December 2016.', ""Despite its growth rate, Gujarat had a relatively poor record on human development, poverty relief, nutrition and education during Modi's tenure."", 'In 1975, he starred in a variety of film genres, from the comedy Chupke Chupke and the crime drama Faraar to the romantic drama Mili.', 'In 1997, Bachchan attempted to make his acting comeback with the film Mrityudata, produced by ABCL.', ""Modi returned to electoral politics in 1994, partly at the insistence of Advani, and as party secretary, Modi's electoral strategy was considered central to the BJP victory in the 1995 state assembly elections."", 'On 7 February 1964, the Beatles left the United Kingdom with an estimated 4,000 fans gathered at Heathrow, waving and screaming as the aircraft took off.', ""In December 2013 the magistrate's court rejected the protest petition, accepting the SIT's finding that there was no evidence against the chief minister."", 'Following Parwana were several films including Reshma Aur Shera (1971).', ""The film was a huge success and one of the highest-grossing films of that year, breaking Bachchan's dry spell at the box office and making him a star."", 'While Richards was settling his legal and personal problems, Jagger continued his jet-set lifestyle.']"
41,42,"['In 2000, Bachchan hosted the first season of Kaun Banega Crorepati (KBC), the Indian adaptation of the British television game show, Who Wants to Be a Millionaire?.', 'During this period, Modi wrote a book in Gujarati, Sangharsh Ma Gujarat (In The Struggles of Gujarat), describing events during the Emergency.', 'On 26 July 1982, while filming Coolie, in the University Campus in Bangalore, Bachchan suffered a near-fatal intestinal injury during the filming of a fight scene with co-actor Puneet Issar.', 'His father Harivansh Rai Bachchan was an Awadhi Hindu of Kayastha caste.', 'In 2008, the band ranked 10th on the Billboard Hot 100 All-Time Top Artists chart.', 'In 2015, Modi was ranked the 13th Most Influential Person in the World by Bloomberg Markets Magazine.', ""In September 2013 Modi was named the BJP's candidate for prime minister in the 2014 Lok Sabha election."", 'He also received Best Actor nomination for Kaala Patthar and then went on to be nominated again in 1980 for the Raj Khosla directed film Dostana, in which he starred opposite Shatrughan Sinha and Zeenat Aman.', 'In February 1958, McCartney invited his friend George Harrison to watch the band.', 'The first article targeted Donovan (who was raided and charged soon after); the second instalment (published on 5 February) targeted the Rolling Stones.']"
42,43,"['Modi wrote a foreword to a textbook by Dinanath Batra released in 2014, which stated that ancient India possessed technologies including test-tube babies.', '1 on the UK charts; it reached No.', 'The then-President of Afghanistan awarded him the Order of Afghanistan in 1991 following the shooting of Khuda Gawah there.', 'On the treatment of the man responsible for the raid, he later added: ""As I heard it, he never walked the same again.""', 'In June 2019 he cleared debts of 2100 farmers from Bihar.', 'On 5 August 2019, the government moved resolution to scrap Article 370 in the Rajya Sabha, and also reorganize the state with Jammu and Kashmir serving as one of the union territory and Ladakh region separated out as a separate union territory.', 'He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth ₹6.6\xa0trillion were signed.', 'Bachchan towers in every sense, but without a hint of showboating.', ""After the group's break-up in 1970, all four members enjoyed success as solo artists."", 'He later attended Kirori Mal College, University of Delhi.']"
43,44,"['The second CD included twelve previously unreleased tracks (except ""So Young"", which was a B-side to ""Out of Tears"") from the sessions with mostly newly recorded vocals by Jagger.', 'In 1983, he played a triple role in Mahaan which was not as successful as his previous films.', 'Historians and former members of the ICHR, including those sympathetic to the BJP, questioned his credentials as a historian, and stated that the appointment was part of an agenda of cultural nationalism.', ""Modi's 31 August 2012 post on Google Hangouts made him the first Indian politician to interact with citizens on a live chat."", 'In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter.', 'A Supreme Court-appointed Special Investigation Team found no evidence to initiate prosecution proceedings against Modi personally.', 'McCartney said, ""We made a mistake.', 'It gave us a level of confidence; a pathway of how to do it.""', 'A review in Daily News and Analysis (DNA) summarised Bachchan\'s performance as ""The heart and soul of Piku clearly belong to Amitabh Bachchan who is in his elements.', 'Amitabh Bachchan has invested in many upcoming business ventures.']"
44,45,"['Soon after the company was launched in 1996, the first film it produced was Tere Mere Sapne, which was a moderate success and launched the careers of actors like Arshad Warsi and southern film star Simran.', 'After a three-year stint in politics from 1984 to 1987, Bachchan returned to films in 1988, playing the title role in Shahenshah, which was a box office success.', 'Early political career', ""Richards' addiction to heroin delayed his arrival in Toronto; the other members had already arrived."", ""He was also declared winner of the Time magazine reader's poll for Person of the Year in 2014 and 2016."", 'Modi preferred playing larger-than-life characters in theatrical productions, which has influenced his political image.', 'The show also included the concert debut of ""Honky Tonk Women"", which had been released the previous day.', 'In 1987, Harrison\'s Cloud Nine album included ""When We Was Fab"", a song about the Beatlemania era.', ""He has hosted several seasons of the game show Kaun Banega Crorepati, India's version of the game show franchise, Who Wants to Be a Millionaire?."", 'In May 2007, two of his films: the romantic comedy Cheeni Kum and the multi-starrer action drama Shootout at Lokhandwala were released.']"
45,46,"['The Modi government imposed a curfew in 26 major cities, issued shoot-at-sight orders and called for the army to patrol the streets, but was unable to prevent the violence from escalating.', 'In April 2012, Tendulkar accepted the Rajya Sabha nomination proposed by the President of India and became the first active sportsperson and cricketer to have been nominated.', 'He founded the Harivansh Rai Bachchan Memorial Trust, named after his father, in 2013.', 'Critic Richie Unterberger described the first Jagger/Richards single, ""Tell Me (You\'re Coming Back)"", as a ""pop rock ballad\xa0...', 'Jones left the band less than a month before his death in 1969, having already been replaced by Mick Taylor.', 'A new compilation album, GRRR!, was released on 12 November.', 'In 2014, he played the role of the friendly ghost in the sequel Bhoothnath Returns.', 'Bachchan is widely regarded as one of the greatest and most influential actors in the history of Indian cinema as well as world cinema.', ""Tendulkar's performance through the years 1994–1999 coincided with his physical peak, in his early twenties."", 'He holds a 3.4% equity in Stampede Capital, a financial technology firm specialising in cloud computing for financial markets.']"
46,47,"['During this match, Tendulkar also became the first player to reach 17,000 ODI runs, and achieved his personal best against Australia, as well as the third highest score in a defeat.', 'Miller was not invited to return as the album\'s album producer because his ""contribution level had dropped"".', 'South Africa toured in March and April 2008 for a three-Test series.', 'Well known Indian critic Rajeev Masand wrote on his website, ""Bachchan is pretty terrific as Bhashkor, who reminds you of that oddball uncle that you nevertheless have a soft spot for.', 'They have released 30 studio albums, 23 live albums, 25 compilation albums and 120 singles.', 'Bachchan lent his voice as a narrator to the 2001 movie Lagaan which was a super hit.', 'Two days after the article was published Jagger filed a writ for libel against the News of the World.', 'The following year, Shankersinh Vaghela, a prominent BJP leader from Gujarat, defected to the Indian National Congress (Congress, INC) after losing his parliamentary seat in the Lok Sabha elections.', 'In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter.', ""In October 2017, it was announced that Bachchan will appear in Ayan Mukerji's Brahmastra, alongside Ranbir Kapoor and Alia Bhatt.""]"
47,48,"['Bachchan was performing his own stunts in the film and one scene required him to fall onto a table and then on the ground.', 'Eventually, Bachchan became one of the most successful leading men of the film industry.', ""When the BKS staged a farmers' demonstration Modi ordered their eviction from state-provided houses, and his decision to demolish 200 illegal temples in Gandhinagar deepened the rift with the VHP."", 'Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket.', 'His supporting role won him his second Filmfare Best Supporting Actor award.', ""The tour was Bill Wyman's last."", 'Satanic Majesties was recorded while Jagger, Richards and Jones were awaiting their court cases.', ""Though Mrityudaata attempted to reprise Bachchan's earlier success as an action hero, the film was a failure both financially and critically."", 'The following year, the band wanted out of contracts with both Klein and Decca, but still owed them a Jagger/Richards credited single.', 'India won the series 1–0.']"
48,49,"['The company went into administration and was later declared a failed company by the Indian Industries board.', 'Meena Iyer of The Times of India wrote, ""The performances are pitch-perfect with Bachchan leading the way.', 'In the fifth match, with the series tied at 2–2, Australia amassed 350/4 in 50 overs.', 'Modi left home after finishing high-school in part due to an arranged marriage to Jashodaben Chimanlal, which he abandoned and publicly acknowledged only many decades later.', '3 in the UK.', ""On this album Jones' contributions expanded beyond guitar and harmonica."", 'Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn\'t.', 'was released in September 1966 and reached No.', ""In 2012, Tendulkar was ranked number 8 in Outlook India's poll of the Greatest Indian."", 'Like we know from Prakash Mehra movies, into each life some Bachchan must fall.']"
49,50,"['In 1972 he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful.', 'The group also continues to sell out venues, with their recent No Filter Tour running for two years and concluding in August 2019.', 'The Supreme Court ordered the land to be handed over to a trust to build the Hindu temple.', 'India went on to win that match.', 'He followed with a 42 in the second One-Day International against Pakistan on 11 February 2006, and then a 95 in hostile, seaming conditions on 13 February 2006 in Lahore, which set up an Indian victory.', ""The band's situation made normal functioning complicated, with members living in different countries, and legal barriers restricting where they could tour."", 'Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn\'t.', 'Later, Bachchan played the role of Vikram, once again along with Rajesh Khanna, in the film Namak Haraam, a social drama directed by Hrishikesh Mukherjee and scripted by Biresh Chatterjee addressing themes of friendship.', ""Likewise, Watts is primarily a jazz player who was able to bring that genre's influences to the style of the band's drumming."", 'In 2013, he bought a 10% stake in Just Dial from which he made a gain of 4600 percent.']"
50,51,"['Harrison died from metastatic lung cancer in November 2001.', 'In October 2014, the Modi government deregulated diesel prices.', 'In 1982, he played double roles in the musical Satte Pe Satta and action drama Desh Premee which succeeded at the box office along with mega hits like action comedy Namak Halaal, action drama Khud-Daar and the critically acclaimed drama Bemisal.', 'Modi was named the Best Chief Minister in a 2007 nationwide survey by India Today.', 'Jagger received a three-month prison sentence for the possession of four amphetamine tablets; Richards was found guilty of allowing cannabis to be smoked on his property and sentenced to a year in prison.', 'The Modi government carried out a raid across the border with Myanmar as a result, and labelled the NSCM-K a terrorist organisation.', 'An expanded, remixed and remastered version of the 1977 live album The Beatles at the Hollywood Bowl was released on 9 September 2016, to coincide with the release of the film.', 'Communal tensions were played upon especially in Uttar Pradesh and the states of Northeast India.', 'At a show in Atlanta, the Beatles gave one of the first live performances ever to make use of a foldback system of on-stage monitor speakers.', '… at the beginning of the show the stage was completely covered with a kind of sheath gauze.']"
51,52,"['Martin initially selected the Starr version of ""Love Me Do"" for the band\'s first single, though subsequent re-pressings featured the White version, with Starr on tambourine.', 'He acknowledged his wife for the first time when he filed his nomination for the 2014 general elections.', 'Zakia Jaffri filed a protest petition in response.', ""After the November 2008 Mumbai attacks, Modi held a meeting to discuss the security of Gujarat's 1,600-kilometre (990\xa0mi)-long coastline, resulting in government authorisation of 30 high-speed surveillance boats."", ""The band's double compilation, Hot Rocks 1964–1971, was released in 1972; it reached No."", 'On 4 April 2019, it was announced that Jagger had completed his heart valve procedure in New York, was recovering (in hospital) after a successful operation, and could be released in the following few days.', 'Modi was barred from entering the United States by the State Department, in accordance with the recommendations of the Commission on International Religious Freedom formed under the aegis of the International Religious Freedom Act, the only person denied a US visa under this law.', 'In 1965, Queen Elizabeth II appointed Lennon, McCartney, Harrison and Starr Members of the Order of the British Empire (MBE).', 'He once again resumed double roles in films such as Kasme Vaade (1978) as Amit and Shankar and Don (1978) playing the characters of Don, a leader of an underworld gang and his look-alike Vijay.', 'Erlewine described the LP as ""a sequel of the highest order – one that betters the original"".']"
52,53,"['Modi launched Ujjwala scheme to provide free LPG connection to rural households.', 'During the tour they recorded for two days at Chess Studios in Chicago, meeting many of their most important influences, including Muddy Waters.', 'On 16 January each year, beginning in 2001, people celebrate World Beatles Day under UNESCO.', 'In 2013, he bought a 10% stake in Just Dial from which he made a gain of 4600 percent.', 'Anthology was the culmination of work begun in 1970, when Apple Corps director Neil Aspinall, their former road manager and personal assistant, had started to gather material for a documentary with the working title The Long and Winding Road.', '1 in the US) in Munich provided an opportunity for some guitarists hoping to join the band to work while trying out.', 'Soon afterwards, Grade offered to sell him Northern Songs for £20 million, giving the ex-Beatle ""a week or so"" to decide.', 'Modi kept his marriage secret for most of his career.', 'In July 2006, Modi criticised Prime Minister Manmohan Singh ""\xa0for his reluctance to revive anti-terror legislation"" such as the 2002 Prevention of Terrorism Act.', ""Although Modi's government had announced that it would seek the death penalty for Kodnani on appeal, it reversed its decision in 2013.""]"
53,54,"['The move had the effect of greatly centralising the power previously with the planning commission in the person of the prime minister.', 'He was the Chief Minister of Gujarat from 2001 to 2014 and is the Member of Parliament for Varanasi.', 'Premiership', 'It held the top spot for 21 weeks with a chart life of 40 weeks.', 'In 1991, he became the first artist to receive the Filmfare Lifetime Achievement Award, which was established in the name of Raj Kapoor.', ""There are some people who can just ride along from crest to crest; they can ride along somebody else's success."", 'In 2003, Rolling Stone ranked Rubber Soul fifth among ""The 500 Greatest Albums of All Time"", and AllMusic\'s Richie Unterberger describes it as ""one of the classic folk-rock records"".', 'Thousands of copies of the LP had a new cover pasted over the original; an unpeeled ""first-state"" copy fetched $10,500 at a December 2005 auction.', 'Their holding company, Promogroup, has offices in both The Netherlands and the Caribbean.', 'Approximately 150,000 people were driven to refugee camps.']"
54,55,"['Modi repealed 1,200 obsolete laws in first three years as prime minister; a total of 1,301 such laws had been repealed by previous governments over a span of 64 years.', 'During the sessions, the group upgraded to an eight-track tape console, which made it easier for them to layer tracks piecemeal, while the members often recorded independently of each other, affording the album a reputation as a collection of solo recordings rather than a unified group effort.', 'He was again sworn in as Prime minister on 30 May 2019.', 'Taylor left in 1974 and was replaced in 1975 by Ronnie Wood who has since remained.', 'His father was a poet, who was fluent in Awadhi and Urdu.', 'Vee-Jay finished preparation for the album Introducing...', 'The Beatles were an English rock band formed in Liverpool in 1960.', ""Modi became an RSS sambhag pracharak (regional organiser) in 1978, overseeing RSS activities in the areas of Surat and Vadodara, and in 1979 he went to work for the RSS in Delhi, where he was put to work researching and writing the RSS's version of the history of the Emergency."", 'He established financial and technology parks in Gujarat and during the 2007 Vibrant Gujarat summit, real-estate investment deals worth ₹6.6\xa0trillion were signed.', 'The same month, the band licensed the exclusive rights to sell the new four-DVD boxed set, Four Flicks, recorded on their recent world tour, to the US Best Buy chain of stores.']"
55,56,"['The Indian selection committee had shown interest in selecting Tendulkar for the tour of the West Indies held earlier that year, but eventually did not select him, as they did not want him to be exposed to the dominant fast bowlers of the West Indies so early in his career.', ""Sachin Tendulkar's autobiography, Playing It My Way, was released on 6 November 2014."", ""In 1981, financial losses by ATV's parent company, Associated Communications Corporation (ACC), led it to attempt to sell its music division."", 'The election was described as a referendum on Narendra Modi.', ""Many of Bachchan's films during this early period did not do well, but that was about to change."", ""Modi's relationship with Muslims continued to attract criticism."", 'In 1977, he won his first Filmfare Best Actor Award for his performance in Amar Akbar Anthony, in which he played the third lead opposite Vinod Khanna and Rishi Kapoor as Anthony Gonsalves.', 'France\'s highest civilian honour, the Knight of the Legion of Honour, was conferred upon him by the French Government in 2007 for his ""exceptional career in the world of cinema and beyond"".', 'In 2013, he bought a 10% stake in Just Dial from which he made a gain of 4600 percent.', 'His message found support among young Indians and among middle-class citizens.']"
56,57,"['Development in Gujarat was generally limited to the urban middle class, and citizens in rural areas or from lower castes were increasingly marginalised.', 'A review in Daily News and Analysis (DNA) summarised Bachchan\'s performance as ""The heart and soul of Piku clearly belong to Amitabh Bachchan who is in his elements.', 'From the moment I had that, I wanted to have it all the time – these thoughts about the yogis and the Himalayas, and Ravi\'s music.""', 'India have a first inning score of 705/7.', ""The director, Manmohan Desai, altered the ending of Coolie after Bachchan's accident."", 'He started the series wth scores of 10, 35, 44 and 32.', 'A Supreme Court-appointed Special Investigation Team found no evidence to initiate prosecution proceedings against Modi personally.', ""Foreign policy played a relatively small role in Modi's election campaign, and did not feature prominently in the BJP's election manifesto."", 'Notably, despite the lack of hits, it was during this era that Bachchan won his first National Film Award for Best Actor for his performance as a Mafia don in the 1990 cult film Agneepath.', 'He narrated part of the film Bawarchi.']"
